timestamp	delay_ms	delay_smooth
1761758194792176	41.699	41.554
1761758194803226	40.626	42.402
1761758194813335	38.348	44.183
1761758194829158	41.401	45.295
1761758194845750	45.463	47.561
1761758194862392	49.911	48.559
1761758194885019	60.478	48.639
1761758194886932	49.981	48.467
1761758194888713	64.172	48.887
1761758194890467	53.516	48.762
1761758194892108	42.490	48.158
1761758194901467	38.910	46.923
1761758194917243	42.546	44.970
1761758194926947	40.157	44.414
1761758194938450	39.421	42.206
1761758194949106	37.558	41.176
1761758194965243	40.946	40.940
1761758194980805	44.420	41.186
1761758194990484	42.091	41.329
1761758195003757	43.222	41.658
1761758195012940	40.129	41.810
1761758195026887	41.371	42.100
1761758195042112	43.970	41.828
1761758195053571	43.449	41.927
1761758195063190	40.940	42.024
1761758195075133	40.458	41.906
1761758195085540	38.232	41.887
1761758195105332	45.413	41.465
1761758195115272	43.052	41.283
1761758195126246	42.041	41.368
1761758195136475	39.943	41.737
1761758195146214	37.147	41.839
1761758195164076	42.158	42.060
1761758195178434	44.292	41.794
1761758195190720	44.638	42.097
1761758195199673	41.475	42.236
1761758195211041	40.439	42.307
1761758195226048	42.751	42.627
1761758195242124	46.086	42.114
1761758195251487	43.433	42.369
1761758195260819	40.656	42.280
1761758195272872	40.338	42.313
1761758195282315	37.034	42.359
1761758195304756	46.841	41.872
1761758195313727	43.745	41.383
1761758195323828	41.810	41.505
1761758195335085	40.897	41.833
1761758195344538	37.877	41.824
1761758195360491	41.203	42.100
1761758195376439	44.649	41.681
1761758195387665	43.938	41.836
1761758195396091	40.244	41.959
1761758195407998	39.795	42.039
1761758195423737	42.656	42.283
1761758195438737	45.294	42.496
1761758195448696	43.041	42.096
1761758195459501	41.697	41.592
1761758195470449	40.310	41.718
1761758195486201	43.337	42.219
1761758195496398	40.648	42.106
1761758195507429	38.894	41.677
1761758195522953	41.512	41.255
1761758195538447	44.801	41.206
1761758195547276	41.525	41.743
1761758195559062	41.006	41.632
1761758195569498	38.818	41.644
1761758195584628	41.209	41.497
1761758195601476	45.679	41.370
1761758195610011	42.227	41.192
1761758195620828	40.768	41.282
1761758195629971	37.423	41.222
1761758195645594	40.248	41.172
1761758195660766	43.014	41.204
1761758195672115	42.431	41.140
1761758195682173	40.402	41.217
1761758195692447	38.318	41.330
1761758195708301	41.528	42.265
1761758195724272	45.036	42.576
1761758195734530	43.007	42.439
1761758195745440	41.894	42.149
1761758195762202	46.770	41.985
1761758195770996	43.364	42.320
1761758195781260	41.643	42.600
1761758195791484	39.532	42.258
1761758195803304	38.759	42.344
1761758195818858	41.664	42.492
1761758195833938	44.332	42.498
1761758195843146	41.618	42.609
1761758195857516	43.867	42.710
1761758195869390	43.373	42.848
1761758195885630	46.833	42.826
1761758195895719	44.466	42.415
1761758195905917	42.652	42.037
1761758195916257	40.913	42.267
1761758195926164	38.542	41.979
1761758195937717	37.550	41.652
1761758195953589	40.559	41.033
1761758195969111	43.911	40.787
1761758195978039	40.996	40.968
1761758195989272	40.096	41.194
1761758196002188	40.640	41.588
1761758196016235	42.013	41.801
1761758196030990	44.458	42.000
1761758196041844	43.176	41.599
1761758196053297	42.484	41.985
1761758196062818	39.675	42.221
1761758196078328	42.555	42.322
1761758196088517	39.897	42.022
1761758196105548	44.860	41.694
1761758196115119	42.455	41.848
1761758196126538	41.647	41.746
1761758196136492	39.013	41.960
1761758196151484	41.177	41.577
1761758196167185	44.713	41.596
1761758196176013	41.464	41.540
1761758196188666	41.818	41.690
1761758196198005	38.723	41.657
1761758196212202	40.085	41.646
1761758196228855	44.300	41.655
1761758196240687	43.957	41.604
1761758196250192	41.323	41.819
1761758196260150	38.904	41.737
1761758196275210	41.265	41.929
1761758196290579	44.200	41.645
1761758196302201	43.612	41.356
1761758196311568	40.997	41.295
1761758196323490	40.644	41.458
1761758196332659	37.250	41.626
1761758196349568	41.406	41.328
1761758196363659	43.346	40.967
1761758196375361	42.952	41.176
1761758196385076	40.583	41.397
1761758196395319	38.294	41.486
1761758196410353	40.591	41.728
1761758196428027	45.698	41.765
1761758196437534	43.210	41.941
1761758196447978	41.526	41.930
1761758196458519	39.673	41.981
1761758196473474	41.775	42.160
1761758196489312	45.108	41.772
1761758196498994	42.838	41.848
1761758196509213	41.094	41.828
1761758196520582	40.085	41.884
1761758196529781	36.711	41.879
1761758196552237	46.459	41.567
1761758196561130	43.014	41.166
1761758196572180	42.087	41.430
1761758196581906	39.617	41.753
1761758196593502	38.653	41.971
1761758196608614	41.102	42.358
1761758196625237	45.477	42.026
1761758196636170	44.325	42.224
1761758196646285	42.260	42.292
1761758196656915	40.587	42.478
1761758196672109	43.133	42.669
1761758196686730	45.001	42.393
1761758196696544	42.768	42.084
1761758196707229	41.479	42.142
1761758196718572	40.555	42.315
1761758196728891	38.349	42.206
1761758196745509	42.384	41.731
1761758196760561	44.900	41.459
1761758196771583	43.991	41.629
1761758196779352	39.495	41.798
1761758196790625	38.392	41.819
1761758196807386	42.277	42.255
1761758196822029	44.471	43.267
1761758196832899	43.162	43.540
1761758196842615	40.772	43.729
1761758196856936	42.709	43.996
1761758196879541	52.500	44.115
1761758196888862	47.630	44.226
1761758196899936	45.879	43.863
1761758196909580	42.169	43.533
1761758196920259	39.584	43.349
1761758196936202	43.386	43.178
1761758196945725	40.841	42.387
1761758196957068	39.860	41.938
1761758196968765	38.929	41.352
1761758196983851	41.000	41.027
1761758196999705	44.594	41.236
1761758197010255	43.136	41.312
1761758197019338	40.016	41.498
1761758197030842	38.923	41.663
1761758197046633	41.671	41.735
1761758197061430	44.149	41.807
1761758197072102	42.706	41.833
1761758197083247	41.506	41.888
1761758197093939	39.647	41.864
1761758197109025	41.725	41.842
1761758197124700	44.846	41.836
1761758197135613	43.688	41.892
1761758197144009	39.774	41.927
1761758197155429	38.709	42.335
1761758197171421	41.613	42.810
1761758197186891	44.705	42.859
1761758197197618	43.054	42.316
1761758197212983	45.593	42.199
1761758197224072	44.394	42.781
1761758197234152	42.210	43.175
1761758197243870	39.415	43.784
1761758197259923	42.527	43.733
1761758197275922	45.591	43.765
1761758197285043	42.650	43.834
1761758197302371	47.702	43.802
1761758197311382	44.196	43.717
1761758197322616	43.370	43.734
1761758197337587	46.281	43.720
1761758197348209	44.076	43.052
1761758197358634	41.365	43.169
1761758197369663	39.584	42.579
1761758197384598	42.383	41.992
1761758197393645	38.909	41.331
1761758197410473	43.829	41.100
1761758197420668	41.800	41.032
1761758197429719	38.318	40.991
1761758197441064	36.770	40.859
1761758197461073	43.970	40.997
1761758197472566	43.391	41.295
1761758197482281	40.959	40.839
1761758197492120	38.262	40.792
1761758197509589	43.764	41.329
1761758197519966	41.890	42.077
1761758197530008	39.268	42.338
1761758197545001	41.324	42.365
